rok;surv;ph;light;cover;stand_type;plot;blok
2016;1;4.2;0.05875;94.5;So-Czam;7_9;7
2016;0;4.2;0.05875;94.5;So-Czam;7_10;7
2016;0;4.07;0.01225;26;So-Jw;7_12;7
2016;1;4.27;0.024;34;So-Jw;7_13;7
2016;0;4.27;0.024;34;So-Jw;7_14;7
2016;0;5.16;0.032125;13.5;Dbcz;8_1;8
2016;0;5.16;0.032125;13.5;Dbcz;8_2;8
2016;0;5.18;0.0275;28.5;gr퉐;8_8;8
2016;0;5.73;0.026875;24;gr퉐;8_11;8
2016;0;5.73;0.026875;24;gr퉐;8_12;8
2016;0;3.97;0.04125;43;So-Czam;8_15;8
2016;1;4.3;0.032625;65.5;So-Czam;8_18;8
2016;0;4.62;0.027625;26;Dbcz;9_1;9
2016;0;4.62;0.027625;26;Dbcz;9_2;9
2016;0;4.21;0.028;66;So-Czam;9_3;9
2016;0;4.27;0.1235;114;So-Czam;9_9;9
2016;1;4.27;0.1235;114;So-Czam;9_10;9
2016;1;3.88;0.124875;117.5;So-Czam;13_11;13
2016;1;3.88;0.124875;117.5;So-Czam;13_12;13
2016;1;3.96;0.01925;16.5;So-gr퉐;17_3;17
2016;1;3.96;0.0685;16.5;Dbcz;17_5;17
2017;1;3.68;0.032;25.5;Dbcz;1_2;1
2017;1;3.71;0.02175;22.5;So-Czam;1_12;1
2017;1;4.7;0.1015;62.5;So-Czam;6_6;6
2017;0;4.4;0.032625;21;Dbcz;6_18;6
2017;0;4.05;0.0315;14;Dbcz;7_2;7
2017;0;3.82;0.0238125;14;So-Jw;7_3;7
2017;0;3.82;0.0238125;14;So-Jw;7_4;7
2017;1;4.22;0.124125;112.5;So-Czam;7_7;7
2017;0;4.2;0.05875;98;So-Czam;7_10;7
2017;0;4.27;0.024;41;So-Jw;7_14;7
2017;0;3.93;0.0185;15.5;So-Jw;7_15;7
2017;0;5.16;0.032125;17;Dbcz;8_1;8
2017;0;5.16;0.032125;17;Dbcz;8_2;8
2017;0;5.18;0.0275;28;gr퉐;8_7;8
2017;0;5.18;0.0275;28;gr퉐;8_8;8
2017;1;5.73;0.026875;30.5;gr퉐;8_11;8
2017;0;5.73;0.026875;30.5;gr퉐;8_12;8
2017;0;3.97;0.04125;67;So-Czam;8_15;8
2017;0;4.62;0.027625;29.5;Dbcz;9_1;9
2017;0;4.62;0.027625;29.5;Dbcz;9_2;9
2017;0;4.21;0.028;85;So-Czam;9_3;9
2017;1;4.16;0.12325;25.5;So-Czam;9_5;9
2017;0;4.16;0.12325;25.5;So-Czam;9_6;9
2017;0;4.49;0.017125;94.5;So-Czam;9_7;9
2017;0;4.27;0.1235;111;So-Czam;9_9;9
2017;0;4.27;0.1235;111;So-Czam;9_10;9
2017;1;6.22;0.021125;32;gr퉐;9_11;9
2017;0;6.22;0.021125;32;gr퉐;9_12;9
2017;0;5.07;0.021125;94;So-gr퉐;9_15;9
2017;0;4.2;0.0905;59;So-Czam;9_17;9
2017;0;4.42;0.0185;30;So-gr퉐;10_3;10
2017;0;4.42;0.0185;30;So-gr퉐;10_4;10
2017;0;4.37;0.014125;23.5;So-gr퉐;10_5;10
2017;0;4.37;0.014125;23.5;So-gr퉐;10_6;10
2017;0;5.5;0.023375;60;So-gr퉐;10_7;10
2017;0;5.5;0.023375;60;So-gr퉐;10_8;10
2017;0;4.58;0.01075;35;So-gr퉐;10_9;10
2017;0;4.58;0.01075;35;So-gr퉐;10_10;10
2017;0;4.45;0.018875;56;So-gr퉐;11_13;11
2017;0;4.45;0.018875;56;So-gr퉐;11_14;11
2017;1;3.93;0.025875;37.5;So-Czam;12_2;12
2017;0;3.85;0.078625;85.5;So-Czam;12_11;12
2017;0;3.94;0.13575;162;So-Czam;12_15;12
2017;0;3.94;0.0485;46;So-Czam;17_1;17
2017;0;3.94;0.0485;46;So-Czam;17_2;17
2017;1;3.96;0.01925;18.5;So-gr퉐;17_3;17
2017;0;3.96;0.01925;18.5;So-gr퉐;17_4;17
2017;0;3.96;0.0685;23;Dbcz;17_5;17
2017;0;3.96;0.0685;23;Dbcz;17_6;17
2017;1;4.01;0.057;70.5;So-Czam;17_7;17
2017;0;3.85;0.064375;69;So-Czam;17_9;17
2017;0;3.73;0.06325;86.5;So-gr퉐;17_11;17
2017;0;3.73;0.06325;86.5;So-gr퉐;17_12;17
2017;0;3.8;0.02775;50.5;So-gr퉐;17_13;17
2017;0;3.8;0.02775;50.5;So-gr퉐;17_14;17
2017;0;4.15;0.0245;79.5;So-gr퉐;17_15;17
2017;0;4.15;0.0245;79.5;So-gr퉐;17_16;17
2017;0;4.86;0.03;86;Rb;17_17;17
