O.univ,G.cglob,G.ruber,G.tenel,G.saccu,G.rubes,G.pac L,G.pac R,G.bullo,G.falco,G.calid,G.aequi,G.gluti,G.duter,G.infla,G.trn L,G.trn R,G.crasf,G.scitu,G.mentu,P.obliq,C.nitid
V16-33,2.430000067,6.809999943,28.95000076,0,35.02999878,0,0,0,0.239999995,0.730000019,0.49000001,3.650000095,3.650000095,1.220000029,7.789999962,0.730000019,3.650000095,0.49000001,0,1.950000048,0,0.49000001
V22-204,0.540000021,0,36.75999832,1.620000005,12.69999981,4.590000153,0,2.160000086,3.24000001,1.620000005,1.350000024,6.21999979,8.649999619,2.970000029,2.700000048,0,0.270000011,0.270000011,1.350000024,9.18999958,0.540000021,0
V20-167,1.210000038,1.899999976,53.20000076,0.340000004,13.47000027,0.519999981,0,0,0,0.340000004,3.279999971,7.079999924,6.739999771,1.210000038,0.340000004,1.210000038,2.75999999,0.340000004,0,3.109999895,1.379999995,0
V10-89,0.330000013,2.799999952,55.91999817,3.619999886,9.210000038,2.299999952,0,0.159999996,0.660000026,1.639999986,2.960000038,3.779999971,8.720000267,0,0.819999993,0.49000001,2.299999952,0.660000026,0,1.149999976,0,0
V12-79,0.899999976,0,41.04999924,0.720000029,14.82999992,0.899999976,0,2.170000076,1.450000048,4.340000153,0.720000029,3.440000057,9.770000458,3.799999952,0.899999976,0,0,1.269999981,0.540000021,5.429999828,4.699999809,0
V19-216,1.480000019,1.350000024,38.40999985,0.670000017,11.46000004,0.810000002,0,1.350000024,2.019999981,1.210000038,3.5,6.739999771,3.099999905,6.739999771,9.029999733,0.140000001,0.400000006,1.210000038,0.670000017,2.829999924,2.559999943,0
V14-90,0.340000004,2.24000001,39.02999878,1.730000019,12.43999958,1.039999962,0.170000002,2.420000076,2.75999999,2.420000076,0.860000014,2.24000001,12.43999958,5.179999828,0.170000002,0,1.210000038,0.519999981,0.170000002,4.659999847,4.659999847,0
A180-72,0.109999999,0.109999999,39.38000107,0.769999981,21.79000092,0.660000026,0.219999999,1.440000057,0.660000026,3.650000095,0.769999981,3.099999905,10.72999954,2.650000095,0.219999999,0,0.330000013,0.219999999,0.439999998,6.860000134,4.53000021,0
V16-21,1.210000038,1.539999962,61.58000183,1.320000052,14.27000046,1.649999976,0,0,0,0.330000013,0.99000001,3.839999914,7.360000134,0.550000012,0,0.219999999,0.660000026,0.219999999,0.109999999,0.879999995,0.219999999,0.99000001
A180-76,0,0.219999999,47.86999893,1.789999962,21.92000008,1.120000005,0,1.120000005,0.219999999,1.120000005,0.219999999,2.680000067,8.279999733,1.340000033,0,0,0.449999988,0,0.219999999,5.369999886,4.46999979,0
V15-164,0.74000001,0.839999974,59.20000076,0.839999974,12.72999954,0.74000001,0,0,0.090000004,0,2.329999924,6.130000114,6.130000114,0.839999974,0,0,0.649999976,0.280000001,0.280000001,3.069999933,0.280000001,2.319999933
A180-78,0.25,0.50999999,22.78000069,0,18.72999954,0.129999995,0.25,7.590000153,0.629999995,0.50999999,0.129999995,4.050000191,5.949999809,3.420000076,0.129999995,0,1.769999981,1.389999986,0.50999999,16.82999992,11.89999962,0
V14-5,1.289999962,0.430000007,45.04000092,0.430000007,25.43000031,0.430000007,0,0,0.219999999,0.219999999,0.219999999,4.309999943,7.329999924,1.080000043,0,0,0,0,0.649999976,7.760000229,3.660000086,0.219999999
V3-128,1.409999967,0.629999995,49.75999832,0.159999996,11.46000004,0.159999996,0,0.159999996,0.310000002,0.310000002,1.100000024,1.409999967,2.50999999,2.980000019,0.310000002,0.310000002,8.319999695,1.730000019,0,7.690000057,7.849999905,0
A179-13,1.470000029,3.430000067,55.88000107,6.369999886,2.940000057,1.960000038,0,0,0,0.49000001,1.470000029,8.819999695,9.31000042,0.980000019,0,0.980000019,2.450000048,0,0,0,0,0.49000001
V9-31,0,0.400000006,39.52999878,0.400000006,18.96999931,1.580000043,0.400000006,4.349999905,1.190000057,0.400000006,1.580000043,1.190000057,7.110000134,8.300000191,0,0,3.950000048,0,1.190000057,0.400000006,5.929999828,0
V20-230,0.159999996,0.159999996,44.90000153,0,18.92000008,1.970000029,0,1.639999986,0,0.159999996,0.660000026,5.920000076,9.539999962,3.289999962,0,0,2.630000114,0.49000001,0.159999996,1.320000052,6.739999771,0
V20-7,3.079999924,0,60.5,0,21.03000069,0,0,0,0,0,0,3.079999924,0,7.699999809,0,0,0,0,0,3.079999924,0,0
V20-234,1.090000033,0,46.27999878,1.090000033,29.04000092,0.540000021,0,0.360000014,0.180000007,0,1.090000033,3.269999981,7.989999771,2,0,0,0.540000021,0,1.269999981,3.630000114,0.910000026,0
V18-21,0.209999993,0.419999987,47.47000122,0.209999993,18.98999977,0,0,0,0,0,1.049999952,4.429999828,6.539999962,2.529999971,0,0,0,0,0.629999995,12.44999981,3.380000114,0.209999993
V12-122,1.789999962,0.49000001,43.49000168,0.810000002,25.56999969,0.649999976,0,0.159999996,0,0.159999996,0.330000013,3.25999999,8.960000038,4.559999943,0.159999996,0.159999996,0,0,0.159999996,7.489999771,0.980000019,0.649999976
